,X,Z,Y_true,Y_pred
0,assets/stimulus/swim/swim10_front_non.jpg,False,,
1,assets/stimulus/swim/swim10_front_plus.jpg,True,,
2,assets/stimulus/swim/swim11_front_non.jpg,False,,
3,assets/stimulus/swim/swim11_front_plus.jpg,True,,
4,assets/stimulus/swim/swim12_front_non.jpg,False,,
5,assets/stimulus/swim/swim12_front_plus.jpg,True,,
6,assets/stimulus/swim/swim13_front_non.jpg,False,,
7,assets/stimulus/swim/swim13_front_plus.jpg,True,,
8,assets/stimulus/swim/swim14_front_non.jpg,False,,
9,assets/stimulus/swim/swim14_front_plus.jpg,True,,
10,assets/stimulus/swim/swim15_front_non.jpg,False,,
11,assets/stimulus/swim/swim15_front_plus.jpg,True,,
12,assets/stimulus/swim/swim16_front_non.jpg,False,,
13,assets/stimulus/swim/swim16_front_plus.jpg,True,,
14,assets/stimulus/swim/swim17_front_non.jpg,False,,
15,assets/stimulus/swim/swim17_front_plus.jpg,True,,
16,assets/stimulus/swim/swim18_front_non.jpg,False,,
17,assets/stimulus/swim/swim18_front_plus.jpg,True,,
18,assets/stimulus/swim/swim19_front_non.jpg,False,,
19,assets/stimulus/swim/swim19_front_plus.jpg,True,,
20,assets/stimulus/swim/swim1_front_non.jpg,False,,
21,assets/stimulus/swim/swim1_front_plus.jpg,True,,
22,assets/stimulus/swim/swim20_front_non.jpg,False,,
23,assets/stimulus/swim/swim20_front_plus.jpg,True,,
24,assets/stimulus/swim/swim21_front_non.jpg,False,,
25,assets/stimulus/swim/swim21_front_plus.jpg,True,,
26,assets/stimulus/swim/swim22_front_non.jpg,False,,
27,assets/stimulus/swim/swim22_front_plus.jpg,True,,
28,assets/stimulus/swim/swim23_front_non.jpg,False,,
29,assets/stimulus/swim/swim23_front_plus.jpg,True,,
30,assets/stimulus/swim/swim24_front_non.jpg,False,,
31,assets/stimulus/swim/swim24_front_plus.jpg,True,,
32,assets/stimulus/swim/swim25_front_non.jpg,False,,
33,assets/stimulus/swim/swim25_front_plus.jpg,True,,
34,assets/stimulus/swim/swim26_front_non.jpg,False,,
35,assets/stimulus/swim/swim26_front_plus.jpg,True,,
36,assets/stimulus/swim/swim27_front_non.jpg,False,,
37,assets/stimulus/swim/swim27_front_plus.jpg,True,,
38,assets/stimulus/swim/swim28_front_non.jpg,False,,
39,assets/stimulus/swim/swim28_front_plus.jpg,True,,
40,assets/stimulus/swim/swim29_front_non.jpg,False,,
41,assets/stimulus/swim/swim29_front_plus.jpg,True,,
42,assets/stimulus/swim/swim2_front_non.jpg,False,,
43,assets/stimulus/swim/swim2_front_plus.jpg,True,,
44,assets/stimulus/swim/swim30_front_non.jpg,False,,
45,assets/stimulus/swim/swim30_front_plus.jpg,True,,
46,assets/stimulus/swim/swim31_front_non.jpg,False,,
47,assets/stimulus/swim/swim31_front_plus.jpg,True,,
48,assets/stimulus/swim/swim32_front_non.jpg,False,,
49,assets/stimulus/swim/swim32_front_plus.jpg,True,,
50,assets/stimulus/swim/swim3_front_non.jpg,False,,
51,assets/stimulus/swim/swim3_front_plus.jpg,True,,
52,assets/stimulus/swim/swim4_front_non.jpg,False,,
53,assets/stimulus/swim/swim4_front_plus.jpg,True,,
54,assets/stimulus/swim/swim5_front_non.jpg,False,,
55,assets/stimulus/swim/swim5_front_plus.jpg,True,,
56,assets/stimulus/swim/swim6_front_non.jpg,False,,
57,assets/stimulus/swim/swim6_front_plus.jpg,True,,
58,assets/stimulus/swim/swim7_front_non.jpg,False,,
59,assets/stimulus/swim/swim7_front_plus.jpg,True,,
60,assets/stimulus/swim/swim8_front_non.jpg,False,,
61,assets/stimulus/swim/swim8_front_plus.jpg,True,,
62,assets/stimulus/swim/swim9_front_non.jpg,False,,
63,assets/stimulus/swim/swim9_front_plus.jpg,True,,
